Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
0.3612,2017-11-20 17:38:31+00:00,0.0,0.878,0.122,"""Thank you for all your love..."" David Cassidy's brother says after ""Partridge Family"" star was hospitalized due to… https://t.co/SPo5ukQTuh",1,@CBSNews
0.1511,2017-11-20 17:20:35+00:00,0.0,0.935,0.065,"Santa Claus is coming to town! But if you want to see him at this iconic location, you'll have to book an appointme… https://t.co/DtiksghGlE",2,@CBSNews
0.0,2017-11-20 17:06:38+00:00,0.0,1.0,0.0,"""We're going to have the wall. It's part of what we're doing. We need it. That's rough territory. That's where the… https://t.co/LnklMrDlW2",3,@CBSNews
0.4939,2017-11-20 17:05:40+00:00,0.0,0.849,0.151,"“So we'll be submitting plans on health care, plans on infrastructure, and plans on welfare reform…soon after taxes… https://t.co/tsj47cnSAE",4,@CBSNews
0.7906,2017-11-20 17:03:01+00:00,0.077,0.588,0.335,"""We're going to give the American people a huge tax cut for Christmas. Hopefully that will be a great big beautiful… https://t.co/3cTmltoWhr",5,@CBSNews
-0.296,2017-11-20 17:02:07+00:00,0.109,0.891,0.0,"""This designation will impose further sanctions and penalties on North Korea and related persons,"" @POTUS says of t… https://t.co/ntSNEWYvQz",6,@CBSNews
0.0,2017-11-20 17:00:27+00:00,0.0,1.0,0.0,"“One of the primary goals of our trip was to pursue the denuclearization of the Korean peninsula… Today, U.S. is de… https://t.co/makTNUT6qO",7,@CBSNews
0.0,2017-11-20 16:57:30+00:00,0.0,1.0,0.0,"WATCH: President Trump holds a cabinet meeting, declares North Korea a state sponsor of terror… https://t.co/M8BRANjztX",8,@CBSNews
0.0,2017-11-20 16:55:31+00:00,0.0,1.0,0.0,"These turkeys are living it up at this luxury D.C. hotel before traveling to the White House, where they are set to… https://t.co/vgnHIqQNvq",9,@CBSNews
0.765,2017-11-20 16:48:02+00:00,0.0,0.694,0.306,"Interested in becoming financially independent and retiring young? Learn how ""super savers"" are achieving their goa… https://t.co/0ENROdM1Dq",10,@CBSNews
-0.2263,2017-11-20 16:39:24+00:00,0.083,0.917,0.0,"“There are hispanics that have stopped me on the side and said 'you're doing what we can't do, keep moving forward.… https://t.co/hrPxW9aacb",11,@CBSNews
0.5574,2017-11-20 16:37:14+00:00,0.0,0.841,0.159,"“You haven't been with my mom for 18 years. That's my hero right there. She's everything,” Fonseca’s daughter says… https://t.co/L8nQ8rfCLW",12,@CBSNews
0.0,2017-11-20 16:35:05+00:00,0.0,1.0,0.0,"“What are we teaching our next generation of presidents to be?... If you can say ‘grab those women by the p****,’”… https://t.co/bXyZuC7IdA",13,@CBSNews
0.0,2017-11-20 16:30:28+00:00,0.0,1.0,0.0,"""He actually put us out there and more recognized than it ever has been before,"" Fonseca says of Sheriff Nehls shar… https://t.co/QoCr16xTLT",14,@CBSNews
0.2023,2017-11-20 16:26:24+00:00,0.078,0.78,0.142,"""No matter what race, religion, or belief you may have, we are all equal. Not any one of us is any better than anyo… https://t.co/yVeJnJL3y3",15,@CBSNews
0.743,2017-11-20 16:24:49+00:00,0.0,0.76,0.24,"""I feel we're all entitled to our freedom of speech. We should stand together and always stand behind what you beli… https://t.co/bMx4RvA80J",16,@CBSNews
0.2263,2017-11-20 16:23:22+00:00,0.124,0.717,0.159,WATCH LIVE: The owner of a truck with an anti-Trump sticker speaks out after getting arrested for an outstanding fr… https://t.co/4gNwBqO8bm,17,@CBSNews
0.4215,2017-11-20 16:00:38+00:00,0.158,0.577,0.265,These are the best — and worst — times to drive or fly before and after the Thanksgiving holiday. https://t.co/xiw1O5oREQ,18,@CBSNews
-0.3182,2017-11-20 15:40:02+00:00,0.095,0.905,0.0,President Trump says the NFL should suspend Marshawn Lynch for the rest of the season if he decides to sit down dur… https://t.co/P70NqZxk1z,19,@CBSNews
-0.6705,2017-11-20 15:25:01+00:00,0.191,0.809,0.0,Northern California shooter who killed five people last week may have targeted an elementary school as part of his… https://t.co/LsivXcBywm,20,@CBSNews
-0.7184,2017-11-20 15:10:39+00:00,0.28,0.72,0.0,"A second woman has come forward accusing Sen. Al Franken of sexual harassment --
the first to accuse him of harassm… https://t.co/g8iJAhh7b7",21,@CBSNews
0.34,2017-11-20 15:00:03+00:00,0.0,0.861,0.139,"At Macy's flagship store on 34th Street in New York City, a chance to sit on Santa Claus' lap is by appointment onl… https://t.co/BY13xPh4gB",22,@CBSNews
-0.296,2017-11-20 14:45:01+00:00,0.156,0.697,0.148,A summary released by the Department of Defense shows reports of sexual assault from Fort Bragg increased by 28% in… https://t.co/PniUsxdAQX,23,@CBSNews
-0.9201,2017-11-20 14:30:02+00:00,0.485,0.515,0.0,U.S. troops in Okinawa are restricted to base and banned from drinking alcohol after fatal crash invokes tension ov… https://t.co/WOYEqVCS5q,24,@CBSNews
0.1027,2017-11-20 14:15:02+00:00,0.105,0.773,0.123,Longtime President Robert Mugabe ignored a midday deadline set by the ruling party to step down or face impeachment… https://t.co/WMfOnqKk8B,25,@CBSNews
0.7579,2017-11-20 14:00:05+00:00,0.0,0.745,0.255,"Amid the debate about the future of the Affordable Care Act, some consumers are finding a silver lining: free or ne… https://t.co/IJ8H1u0Sc5",26,@CBSNews
0.34,2017-11-20 13:46:36+00:00,0.0,0.882,0.118,"The ""Thunderstorm"" -- a four-person parachute team -- gets fans excited ahead of every Denver Broncos home game. It… https://t.co/4b4JdOKhO4",27,@CBSNews
0.0,2017-11-20 13:44:48+00:00,0.0,1.0,0.0,"“If anyone has constant coughing, shortness of breath, is an ex-smoker, or who worked in an occupation with a lot o… https://t.co/wQXQIVREyl",28,@CBSNews
-0.4391,2017-11-20 13:40:01+00:00,0.171,0.754,0.075,"""Extremely dangerous"" Shane Anthony Vernon escapes custody for the second time in less than one month… https://t.co/6lltes9B9T",29,@CBSNews
0.0,2017-11-20 13:39:09+00:00,0.0,1.0,0.0,"“People don’t realize that it is highly treatable. Family doctors don’t often ask about the symptoms and signs, and… https://t.co/2FoiL9h4E6",30,@CBSNews
-0.3612,2017-11-20 13:36:55+00:00,0.171,0.717,0.112,".@CBSSunday’s Ted Koppel and his wife Grace Anne open up about COPD, the nation’s third biggest killer after heart… https://t.co/N4HSYQzuh3",31,@CBSNews
-0.3612,2017-11-20 13:36:51+00:00,0.171,0.717,0.112,".@CBSSunday’s Ted Koppel and his wife Grace Anne open up about COPD, the nation’s third biggest killer after heart… https://t.co/lfppvOYv4W",32,@CBSNews
0.0,2017-11-20 13:33:59+00:00,0.0,1.0,0.0,Here’s a look at some of this morning’s headlines from around the globe on @CBSThisMorning: https://t.co/qoVB3MSVsk,33,@CBSNews
-0.4939,2017-11-20 13:29:34+00:00,0.167,0.833,0.0,"A frightening diagnosis changed the lives of @CBSSunday’s Ted Koppel and his wife. Ahead, the two join… https://t.co/DZe5Fv8gPd",34,@CBSNews
0.5719,2017-11-20 13:26:11+00:00,0.0,0.821,0.179,Queen Elizabeth II and Prince Philip are celebrating their 70th wedding anniversary on Monday. Buckingham Palace ha… https://t.co/8WUl9kBmuL,35,@CBSNews
0.0,2017-11-20 13:21:48+00:00,0.0,1.0,0.0,COMING UP on @CBSThisMorning: A platinum milestone for Queen Elizabeth II and the prince who has been by her side f… https://t.co/LDchiKQmBP,36,@CBSNews
0.0,2017-11-20 13:20:01+00:00,0.0,1.0,0.0,"Pres. Trump isn't campaigning for Roy Moore because ultimately, he doesn't know who to believe following decades-ol… https://t.co/W97MqtKp7f",37,@CBSNews
0.0,2017-11-20 13:19:02+00:00,0.0,1.0,0.0,Many stores will open Thursday night for shoppers looking to get a jump start on Black Friday sales. Some brick and… https://t.co/YximDJZetb,38,@CBSNews
0.3182,2017-11-20 13:17:04+00:00,0.0,0.887,0.113,A pair of Thanksgiving turkeys that @POTUS will pardon are living in luxury this morning. The National Turkey Feder… https://t.co/4heLLEjtFU,39,@CBSNews
0.0,2017-11-20 13:14:16+00:00,0.0,1.0,0.0,There is a leading bidder for the Weinstein Company. Maria Contreras-Sweet is offering $250 million for Harvey Wein… https://t.co/QAUhaAtDCN,40,@CBSNews
0.2584,2017-11-20 13:12:47+00:00,0.0,0.898,0.102,Democratic Senator Al Franken’s office says he will not resign after allegations of sexual misconduct. PBS is editi… https://t.co/QljlA2UvMp,41,@CBSNews
-0.4019,2017-11-20 13:11:12+00:00,0.114,0.886,0.0,"Pres. Trump is hitting back at LaVar Ball, the father of one of the UCLA basketball players detained in China. Afte… https://t.co/aRXENJhXV9",42,@CBSNews
0.0,2017-11-20 13:06:44+00:00,0.0,1.0,0.0,South Korea's spy agency says North Korea could carry out more ballistic missile tests this year. This comes as Pre… https://t.co/cOyn2oVYYp,43,@CBSNews
-0.765,2017-11-20 13:05:57+00:00,0.28,0.72,0.0,Charles Manson died Sunday after being imprisoned for more than 45 years. In a 1986 CBS News interview @CharlieRose… https://t.co/Vkg7IGme1w,44,@CBSNews
-0.3612,2017-11-20 13:00:01+00:00,0.249,0.602,0.149,A manhunt is underway in Pennsylvania this morning for a suspected cop killer. The reward for information leading t… https://t.co/5KbyhZIESU,45,@CBSNews
0.4019,2017-11-20 12:53:57+00:00,0.0,0.876,0.124,AHEAD on @CBSThisMorning: The new tactics stores are using to get holiday shoppers in the door instead of shopping… https://t.co/cds9dUbMr0,46,@CBSNews
0.0,2017-11-20 12:52:56+00:00,0.0,1.0,0.0,Here’s a look at some of this morning’s headlines from around the globe on @CBSThisMorning: https://t.co/NlSYcxvpcW,47,@CBSNews
0.0,2017-11-20 12:49:34+00:00,0.0,1.0,0.0,"UP NEXT on @CBSThisMorning: A look at this morning's headlines, including information on a big salad recall over sh… https://t.co/jkfpxoTzWO",48,@CBSNews
0.4019,2017-11-20 12:48:33+00:00,0.0,0.863,0.137,New developments in special counsel Robert Mueller's investigation of Russian meddling in the 2016 election focus o… https://t.co/F17hkiS8YV,49,@CBSNews
0.0,2017-11-20 12:47:21+00:00,0.0,1.0,0.0,"Over its 25-year history, the iconic Georgia Dome hosted over 37 million guests and more than 1,400 events, includi… https://t.co/v1ggu93ToV",50,@CBSNews
-0.4588,2017-11-20 12:41:20+00:00,0.182,0.818,0.0,"A 12-year-old girl's family and a handful of others are suing AG Jeff Sessions and the DEA and are demanding ""canna… https://t.co/ELHBAEFDB8",51,@CBSNews
-0.4767,2017-11-20 12:40:01+00:00,0.177,0.823,0.0,Key vote on controversial plan for Keystone XL pipeline just after Keystone leaked 210K gallons of oil in South Dak… https://t.co/OzzoIghB25,52,@CBSNews
-0.1531,2017-11-20 12:37:14+00:00,0.068,0.932,0.0,12-year-old Alexis Bortell says she and her family had no choice but to move from their Texas home to Colorado to t… https://t.co/sTsPSbkuvj,53,@CBSNews
0.5106,2017-11-20 12:36:25+00:00,0.0,0.845,0.155,"#ThisMornings3Things you need to know:
1?? Cost of opioid epidemic tops $500B
2?? Individual mandate repeal?
3?? Bi… https://t.co/QvpupUPh52",54,@CBSNews
-0.5423,2017-11-20 12:34:56+00:00,0.212,0.788,0.0,WATCH: Explosives are used to destroy Atlanta’s famed Georgia Dome in mere seconds https://t.co/f6KFXR0sPA,55,@CBSNews
0.0,2017-11-20 12:32:45+00:00,0.0,1.0,0.0,"An implosion is about to happen at Atlanta’s famed Georgia Dome. 4,800 pounds of explosives will be used to bring d… https://t.co/tvQjqhu6RO",56,@CBSNews
-0.5719,2017-11-20 12:27:51+00:00,0.171,0.829,0.0,AHEAD: @CBSThisMorning will have live pictures of the Georgia Dome’s destruction and show you why the demolition is… https://t.co/CqIPSlMPh7,57,@CBSNews
0.0,2017-11-20 12:26:18+00:00,0.0,1.0,0.0,Dramatic video shows the moment a small plane crashed onto a Florida road. The plane buzzed a police vehicle before… https://t.co/LOoeUpdHMz,58,@CBSNews
0.34,2017-11-20 12:24:14+00:00,0.0,0.893,0.107,NASCAR driver Dale Earnhardt Jr. took his final lap around the track after an 18-year career. He shared an emotiona… https://t.co/CCofwpamUs,59,@CBSNews
0.0,2017-11-20 12:22:54+00:00,0.0,1.0,0.0,"In upstate New York, the first big snowstorm of the season is making the commute treacherous. A lake effect snow wa… https://t.co/nbq3opFfJO",60,@CBSNews
0.128,2017-11-20 12:21:29+00:00,0.108,0.723,0.169,"Powerful wind caused scaffolding in NYC to crash to the ground, injuring at least 6 people. Gusts reached up to 51… https://t.co/jygDl6vd3T",61,@CBSNews
0.0,2017-11-20 12:20:01+00:00,0.0,1.0,0.0,"Nearly two months after Hurricane Maria, about half of Puerto Rico is still without power and many school children… https://t.co/xJtMJd4kWJ",62,@CBSNews
-0.4215,2017-11-20 12:19:54+00:00,0.157,0.843,0.0,Music producer Russell Simmons denies allegations of sexual misconduct with a 17-year-old. Several other women have… https://t.co/fagzOYpz9b,63,@CBSNews
0.0,2017-11-20 12:18:23+00:00,0.0,1.0,0.0,Actor Jeffrey Tambor says he may not do another season of the TV drama “Transparent” due to two allegations of sexu… https://t.co/TOq8MDQSP2,64,@CBSNews
0.101,2017-11-20 12:16:12+00:00,0.115,0.752,0.132,GOP Senate candidate Roy Moore is losing more support over sexual misconduct allegations. Three of the state's larg… https://t.co/XD3NZmNWcb,65,@CBSNews
-0.0516,2017-11-20 12:15:43+00:00,0.088,0.833,0.079,"Zimbabwe's longtime president, Robert Mugabe, is defiant this morning in the face of growing calls for him to step… https://t.co/RG0sIhNxMw",66,@CBSNews
-0.0258,2017-11-20 12:14:55+00:00,0.098,0.809,0.094,The U.S. Military is helping in the search for Argentina’s lost submarine and the 44 people on board. 10 airplanes… https://t.co/HBdoE6Q6sR,67,@CBSNews
-0.6808,2017-11-20 12:12:35+00:00,0.248,0.752,0.0,"American Military members in Okinawa, Japan, are restricted to base and banned from drinking alcohol after a U.S. m… https://t.co/jg2mtjSt1C",68,@CBSNews
-0.4767,2017-11-20 12:09:49+00:00,0.154,0.846,0.0,The FBI is leading the investigation into a deadly attack on customs and border patrol agents in Texas… https://t.co/IdU7oAYmvq,69,@CBSNews
-0.765,2017-11-20 12:08:27+00:00,0.292,0.708,0.0,"Investigators say 29-year-old Rahmael Sal Holt is ""armed and dangerous."" He is accused of killing 25-year-old polic… https://t.co/TEGjrVjjzK",70,@CBSNews
-0.8885,2017-11-20 12:05:11+00:00,0.412,0.588,0.0,"Charles Manson, the mastermind of a series of notorious 1969 murders, died Sunday night at a California hospital. T… https://t.co/HNjYw2opHv",71,@CBSNews
-0.6369,2017-11-20 11:45:02+00:00,0.198,0.802,0.0,COMING UP on @CBSThisMorning: A manhunt is underway in Pennsylvania after an officer was fatally shot at a traffic… https://t.co/E38tXdOyXW,72,@CBSNews
0.4019,2017-11-20 11:33:32+00:00,0.0,0.856,0.144,"RT @CBSThisMorning: THIS MORNING: 
?@Paulareid on the latest in the Special Counsel's investigation
?@DonDahlerCBS on Pennsylvania manhunt…",73,@CBSNews
0.0,2017-11-20 11:03:04+00:00,0.0,1.0,0.0,Two earthquakes rattle Oklahoma town https://t.co/3JSP0IbPSw https://t.co/03ABoQSjia,74,@CBSNews
-0.7096,2017-11-20 10:48:04+00:00,0.371,0.629,0.0,Police: Inmate used 9-year-old girl to smuggle drugs into prison https://t.co/kJkDZMA8r8 https://t.co/4PV5YwP9WE,75,@CBSNews
0.0,2017-11-20 10:33:06+00:00,0.0,1.0,0.0,Pres. Trump tweets he should have left UCLA players in Chinese jail https://t.co/vFp5VAqDGe https://t.co/sKZe0QlTu9,76,@CBSNews
-0.5574,2017-11-20 10:18:06+00:00,0.286,0.714,0.0,Multi-Cookers: The kitchen gadget that's all the rage https://t.co/JE19tmtipB https://t.co/uK77LYwqod,77,@CBSNews
0.0,2017-11-20 10:03:06+00:00,0.0,1.0,0.0,Recipe: Snoop Dogg's Baby Back Ribs https://t.co/aqBmvQPEFd https://t.co/oAdemorIJy,78,@CBSNews
-0.296,2017-11-20 09:48:05+00:00,0.239,0.761,0.0,When food is used as a weapon https://t.co/FPCpWjRmuC https://t.co/XkSKIAQBjC,79,@CBSNews
0.0,2017-11-20 09:33:05+00:00,0.0,1.0,0.0,Whisky from the Land of the Rising Sun https://t.co/uSB7LcJTqp https://t.co/OnGlvpJveY,80,@CBSNews
0.6369,2017-11-20 09:18:08+00:00,0.0,0.741,0.259,"A visit to the Black Swan, the best restaurant in the world https://t.co/5TIoOpzY2C https://t.co/zUHNkQAyij",81,@CBSNews
0.0,2017-11-20 09:03:04+00:00,0.0,1.0,0.0,Recipe: Snoop Dogg's Baby Back Ribs https://t.co/ToPxkuika3 https://t.co/9LIRxDogEv,82,@CBSNews
-0.6486,2017-11-20 08:48:04+00:00,0.323,0.677,0.0,"Mel Tillis, country music legend, dead at 85 https://t.co/BAxr4vW85i https://t.co/P2WjZCt2zW",83,@CBSNews
0.0,2017-11-20 08:33:05+00:00,0.0,1.0,0.0,"Honda recalls 900,000 Odyssey minivans https://t.co/YHiPbelG1v https://t.co/VGnv7r1G88",84,@CBSNews
0.4939,2017-11-20 08:18:05+00:00,0.0,0.758,0.242,Undercover video shows nurses laughing as WWII vet dies https://t.co/ExZIeHG7a4 https://t.co/cr1lD3lwEp,85,@CBSNews
0.4767,2017-11-20 08:03:06+00:00,0.0,0.659,0.341,AMAs 2017 list of winners https://t.co/CcmqMbniPr https://t.co/EaHANYWclq,86,@CBSNews
-0.2732,2017-11-20 07:48:04+00:00,0.123,0.877,0.0,"Sen. Tom Cotton says ""every income group"" will ""see a tax cut"" under Senate bill https://t.co/akFl5eRyk2 https://t.co/56zgj1837U",87,@CBSNews
0.802,2017-11-20 07:33:07+00:00,0.0,0.455,0.545,"Ketchup, a sweet and sour love story https://t.co/YhrrvSPcpH https://t.co/2Mculjh4w8",88,@CBSNews
-0.5106,2017-11-20 07:18:09+00:00,0.35,0.65,0.0,Argentina unsure if signals came from lost submarine https://t.co/UhM8tMJclR https://t.co/aGpJhssewJ,89,@CBSNews
-0.2023,2017-11-20 06:55:34+00:00,0.169,0.692,0.138,"""Manson was an evil, sophisticated con man with twisted and warped moral values,"" said the district attorney who pr… https://t.co/cDmKPF5zxL",90,@CBSNews
-0.6597,2017-11-20 06:18:28+00:00,0.196,0.804,0.0,"Charles Manson, who led deranged followers known as the Manson Family into a series of horrific crimes that haunted… https://t.co/kFh9Sz1d5l",91,@CBSNews
-0.7717,2017-11-20 06:08:01+00:00,0.286,0.627,0.087,"JUST IN: Charles Manson, cult leader and convicted mass murderer, has died of natural causes at 83, according to Ca… https://t.co/uwQK1g0Kar",92,@CBSNews
0.4019,2017-11-20 06:03:08+00:00,0.0,0.748,0.252,Today's Special: How veggies impersonate other foods https://t.co/cIPFZoshCA https://t.co/yVTWxpMRJI,93,@CBSNews
-0.6705,2017-11-20 05:48:04+00:00,0.243,0.757,0.0,"Border patrol agent killed in the line of duty in Texas, officials say https://t.co/iZxC795e4L https://t.co/is55VA4PwP",94,@CBSNews
0.25,2017-11-20 05:33:05+00:00,0.0,0.778,0.222,A Houston chef that's living the dream https://t.co/ezB9AnHWSM https://t.co/LhGWyMrihd,95,@CBSNews
-0.5574,2017-11-20 05:18:07+00:00,0.286,0.714,0.0,Multi-Cookers: The kitchen gadget that's all the rage https://t.co/HHkawhKV9G https://t.co/AN5vSImCCE,96,@CBSNews
0.4449,2017-11-20 05:03:07+00:00,0.0,0.696,0.304,Robert Mugabe still Zimbabwe president despite pressure to resign https://t.co/D6ev92nWtN https://t.co/2eGFNn4sqQ,97,@CBSNews
0.6369,2017-11-20 04:48:07+00:00,0.0,0.741,0.259,"A visit to the Black Swan, the best restaurant in the world https://t.co/Tl4hLm3hN4 https://t.co/cm6a5NMQVl",98,@CBSNews
0.7269,2017-11-20 04:33:06+00:00,0.0,0.621,0.379,AMAs 2017: Highlights and winners at the American Music Awards https://t.co/SVl4lsMuSt https://t.co/YwmavLV2mO,99,@CBSNews
-0.6486,2017-11-20 04:18:10+00:00,0.323,0.677,0.0,"Mel Tillis, country music legend, dead at 85 https://t.co/3vJZGF1GQH https://t.co/xFgp2eGCIE",100,@CBSNews
0.5106,2017-11-20 17:43:47+00:00,0.0,0.798,0.202,Roy Moore Accuser: 'It Took Years to Regain Sense of Confidence in Myself' https://t.co/IMMxMWSJex,1,@FoxNews
-0.25,2017-11-20 17:38:28+00:00,0.143,0.857,0.0,.@HerschelWalker on Marshawn Lynch Sitting for Anthem: You 'Never' Protest the Anthem https://t.co/IvhN85k9dR,2,@FoxNews
0.0,2017-11-20 17:29:25+00:00,0.0,1.0,0.0,Long-forgotten time capsule discovered in Space Needle https://t.co/sx8yp3RoM6,3,@FoxNews
-0.6808,2017-11-20 17:28:24+00:00,0.295,0.705,0.0,"Trump designates North Korea as state sponsor of terrorism - via @brookefoxnews
https://t.co/wnE54ZN6HF",4,@FoxNews
-0.5267,2017-11-20 17:26:35+00:00,0.152,0.848,0.0,"RT @FoxNewsResearch: North Korea as a State Sponsor of Terror:
•1988: Designated after 1987 bombing of S Korean airliner
•2008: Bush admin…",5,@FoxNews
0.9529,2017-11-20 17:11:13+00:00,0.0,0.435,0.565,".@POTUS: ""I want to wish the American people a truly happy and blessed Thanksgiving, especially to our brave men an… https://t.co/HodKhoYlnY",6,@FoxNews
0.0,2017-11-20 17:09:02+00:00,0.0,1.0,0.0,".@POTUS: ""We'll be submitting plans on healthcare, plans on infrastructure and plans on welfare reform... soon afte… https://t.co/I1WhPkVaov",7,@FoxNews
0.3384,2017-11-20 17:07:47+00:00,0.0,0.877,0.123,".@POTUS: ""We're looking very strongly at welfare reform and that will all take place right after taxes."" https://t.co/RU9GNzL0jN",8,@FoxNews
0.5994,2017-11-20 17:05:54+00:00,0.0,0.671,0.329,".@POTUS: ""Our tax plan will bring urgent relief to hardworking families."" https://t.co/3OCK0lD7HC",9,@FoxNews
0.2023,2017-11-20 17:03:57+00:00,0.0,0.904,0.096,".@POTUS: ""The treasury department will be announcing an additional sanction and a very large one on North Korea."" https://t.co/5tKJVr0ck6",10,@FoxNews
0.4215,2017-11-20 17:02:55+00:00,0.0,0.833,0.167,".@POTUS: ""Today the United States is designating North Korea as a state sponsor of terrorists."" https://t.co/nDZIijQVvM",11,@FoxNews
0.3818,2017-11-20 16:59:45+00:00,0.0,0.885,0.115,".@POTUS: ""We've made clear to all countries that we cannot continue to be treated unfairly when it comes to trade."" https://t.co/PAJkiai3aT",12,@FoxNews
0.6369,2017-11-20 16:58:52+00:00,0.0,0.769,0.231,".@POTUS: ""We've just come up with the best job performance in over 17 years."" https://t.co/55wqf4z4pw",13,@FoxNews
0.4939,2017-11-20 16:56:49+00:00,0.0,0.686,0.314,".@POTUS: ""People are respecting our country again."" https://t.co/td6BhVvd0N",14,@FoxNews
-0.5267,2017-11-20 16:51:32+00:00,0.274,0.726,0.0,.@POTUS to Declare North Korea State Sponsor of Terror https://t.co/eI8S1qy2HB,15,@FoxNews
-0.886,2017-11-20 16:39:14+00:00,0.536,0.464,0.0,"Lois Lerner wants IRS testimony sealed, fearing death threats - via @brookefoxnews
https://t.co/7C3HjbNuQy",16,@FoxNews
-0.8957,2017-11-20 16:36:22+00:00,0.495,0.505,0.0,"Border agent killed, partner injured by illegal immigrants using rocks, report says https://t.co/zq4DPKFG1r https://t.co/XwFCVhADf9",17,@FoxNews
0.0,2017-11-20 16:32:58+00:00,0.0,1.0,0.0,"North Korea could test 'array of ballistic missiles' before end of the year, South Korea spy agency says https://t.co/0DUvCvF5K1",18,@FoxNews
-0.6597,2017-11-20 16:32:07+00:00,0.333,0.526,0.14,OPINION: Charles Manson -- America's poster child for our fascination with evil and fear https://t.co/rQD77zOH7W,19,@FoxNews
