Compound,Date,Negative,Neutral,Positive,Tweet Text,Tweets Ago,User
-0.296,2017-11-20 16:06:43+00:00,0.167,0.833,0.0,"Northern Ireland Priest: Stop Saying 'Christmas,' the Word Has Been 'Hijacked' https://t.co/xQfSDLAtu1",20,@FoxNews
0.0,2017-11-20 16:00:59+00:00,0.0,1.0,0.0,Race for 2020 Democratic nomination already getting started in New Hampshire (via @steinhauserNH1) https://t.co/yLQyXC30cO,21,@FoxNews
-0.7579,2017-11-20 16:00:01+00:00,0.351,0.649,0.0,"One dead, one missing after boat found spinning off California coast (via @travfed)  https://t.co/xDmSZKOFvS",22,@FoxNews
-0.3626,2017-11-20 15:44:08+00:00,0.143,0.857,0.0,".@LawrenceBJones3: ""Hillary Clinton won't get away... She seems to be a little bitter about her loss."" https://t.co/v8qHTBnOfT",23,@FoxNews
-0.296,2017-11-20 15:40:32+00:00,0.121,0.879,0.0,"JUST IN: A second woman accused @SenFranken of groping her, saying the Minnesota Democrat inappropriately touched h… https://t.co/Hpxxolri0g",24,@FoxNews
0.3612,2017-11-20 15:31:41+00:00,0.0,0.828,0.172,".@GeraldoRivera: ""[Charles Manson] had a macabre charisma about him, a lot like Adolf Hitler.""… https://t.co/JtXOCAq1H9",25,@FoxNews
0.6114,2017-11-20 15:26:16+00:00,0.0,0.818,0.182,Royal Anniversary: Queen Elizabeth II and Prince Philip celebrate 70 years of marriage! They were married on Novemb… https://t.co/b7s975DzLl,26,@FoxNews
0.5423,2017-11-20 15:07:00+00:00,0.0,0.667,0.333,".@marcthiessen: ""Clearly the Russians were playing both sides in Washington."" https://t.co/w3G8mQaOCB",27,@FoxNews
0.0,2017-11-20 14:55:21+00:00,0.0,1.0,0.0,OPINION: Michael Goodwin: Memo to the Clintons: It's over https://t.co/X3FA4GjITQ,28,@FoxNews
-0.25,2017-11-20 14:10:06+00:00,0.143,0.857,0.0,.@HerschelWalker on Marshawn Lynch Sitting for Anthem: You 'Never' Protest the Anthem https://t.co/IvhN85k9dR,29,@FoxNews
0.743,2017-11-20 13:46:35+00:00,0.0,0.613,0.387,.@marcorubio on child tax credit: “We need to reward work.” @foxandfriends https://t.co/KzKoPMTm4Q,30,@FoxNews
0.101,2017-11-20 13:41:17+00:00,0.075,0.834,0.092,.@marcorubio on @foxandfriends: One of the most important things we have to confront in tax reform is: What are we… https://t.co/wQ2z4SHnwN,31,@FoxNews
0.34,2017-11-20 13:39:10+00:00,0.086,0.766,0.149,.@marcorubio on @foxandfriends: “We have to stand by our principles of limited government and free enterprise and a… https://t.co/GJ8hJNeKxH,32,@FoxNews
0.4404,2017-11-20 13:34:07+00:00,0.0,0.861,0.139,Frank Siller on Tunnel To Towers: “We try to tell people…There is hope for you out there.” @foxandfriends https://t.co/EizVACKh8F,33,@FoxNews
-0.6124,2017-11-20 13:22:37+00:00,0.385,0.615,0.0,".@officialmoz defends Harvey Weinstein and Kevin Spacey, blames victims https://t.co/Epxsu4bw4R",34,@FoxNews
0.5423,2017-11-20 12:56:23+00:00,0.0,0.8,0.2,"At the 2017 #AMAs, first responders stood behind @iamjamiefoxx as he gave a heartfelt speech.… https://t.co/ZghdMuLOAu",35,@FoxNews
0.0,2017-11-20 12:53:00+00:00,0.0,1.0,0.0,.@dartmouth College hosts 'What's up with white people?' event https://t.co/I39g2BcBI6,36,@FoxNews
-0.4939,2017-11-20 12:52:21+00:00,0.262,0.738,0.0,.@GeorgiaDome is destroyed in a scheduled implosion on November 20. https://t.co/eUNL5GHZeE,37,@FoxNews
-0.802,2017-11-20 12:39:09+00:00,0.419,0.581,0.0,"Border agent killed, another injured during ‘attack’ near Texas southern border https://t.co/zq4DPKo4CR",38,@FoxNews
0.743,2017-11-20 12:38:24+00:00,0.0,0.656,0.344,".@HerschelWalker: ""An American hero for me is a military active serviceman or a police officer.""… https://t.co/2HNUw1C0Wp",39,@FoxNews
0.0,2017-11-20 12:35:34+00:00,0.0,1.0,0.0,WATCH: Atlanta's storied Georgia Dome razed in 15-second controlled demolition https://t.co/ylJTthHz3E,40,@FoxNews
0.0,2017-11-20 12:32:43+00:00,0.0,1.0,0.0,"Trump hits Raiders' Marshawn Lynch for standing only for Mexican anthem; suggests suspension - via @brookefoxnews
https://t.co/yHg6wGDmbk",41,@FoxNews
0.0,2017-11-20 12:31:00+00:00,0.0,1.0,0.0,Atlanta's storied Georgia Dome to be razed in 15-second controlled demolition https://t.co/hAF70Owayj https://t.co/aFTCuR5vGZ,42,@FoxNews
-0.2263,2017-11-20 12:26:21+00:00,0.087,0.913,0.0,".@KellyannePolls on anthem protests: ""We have saying in our house... take a knee for the lord and stand for the fla… https://t.co/egouNBWspr",43,@FoxNews
0.4337,2017-11-20 12:16:43+00:00,0.089,0.698,0.214,".@KellyannePolls on tax reform: ""This is not about giving the president a win, that's silly, he's the president, he… https://t.co/mwr4wOHww3",44,@FoxNews
0.2732,2017-11-20 12:11:12+00:00,0.096,0.749,0.155,".@KellyannePolls on tax reform: ""We hope petty, partisan politics will not get in the way."" https://t.co/rfC3Lf5ahX",45,@FoxNews
0.0,2017-11-20 12:03:55+00:00,0.0,1.0,0.0,Moments ago @realDonaldTrump slammed Marshawn Lynch for sitting during the US anthem before an @NFL game in Mexico… https://t.co/jZco5Ezdkp,46,@FoxNews
0.4215,2017-11-20 11:52:33+00:00,0.0,0.714,0.286,".@Varneyco: ""[@POTUS] has succeeded on the economy."" https://t.co/gzXJ2zn0mT",47,@FoxNews
-0.2732,2017-11-20 11:51:06+00:00,0.1,0.9,0.0,".@Varneyco: ""What the market wants, what the economy needs is a tax cut plan before the end of the year."" https://t.co/95Q8DAPmMx",48,@FoxNews
-0.4404,2017-11-20 11:46:22+00:00,0.592,0.408,0.0,Unemployment Rate https://t.co/iiqw2y8YQS,49,@FoxNews
0.0,2017-11-20 11:32:32+00:00,0.0,1.0,0.0,".@mschlapp on tax reform: ""We're going to get it done before we're opening presents on Christmas."" https://t.co/T22P8kJgyP",50,@FoxNews
-0.8481,2017-11-20 11:24:23+00:00,0.535,0.465,0.0,U.S. troops in Japan banned from drinking after fatal crash https://t.co/dcyI7IZ7Xf,51,@FoxNews
0.0,2017-11-20 11:21:37+00:00,0.0,1.0,0.0,"Jean Charlot, an officer with the @PANYNJ Police Department, salutes as he is introduced on stage during a ceremony… https://t.co/xSE2alA3X0",52,@FoxNews
0.0,2017-11-20 11:11:18+00:00,0.0,1.0,0.0,"A bald eagle sits perched in a tree at the Mendenhall Glacier Recreation Area in Juneau, Alaska. https://t.co/1hjcxbjdvT",53,@FoxNews
0.0,2017-11-20 11:02:18+00:00,0.0,1.0,0.0,Plans for Charles Manson's remains 'undetermined' https://t.co/9UDHhS8R7k,54,@FoxNews
-0.0943,2017-11-20 10:47:11+00:00,0.333,0.434,0.234,Accused Drunk Driver Almost Hits Officers in TX https://t.co/LAI1EYuces,55,@FoxNews
-0.3612,2017-11-20 10:35:42+00:00,0.152,0.848,0.0,"At an event commemorating the 25th anniversary of @BillClinton's 1992 campaign, @HillaryClinton criticized @POTUS.… https://t.co/G1KbCWdNJn",56,@FoxNews
-0.5719,2017-11-20 10:34:31+00:00,0.335,0.524,0.141,".@stevenmnuchin1 denies tax plans favor big biz, says Bond villain comparison a 'compliment' https://t.co/UkbIz4C2i8",57,@FoxNews
-0.5574,2017-11-20 10:33:58+00:00,0.231,0.769,0.0,Elephant Trophies Decision: Trump Will Decide Whether or Not to Lift Ban https://t.co/ufVZygeG6Q,58,@FoxNews
0.0,2017-11-20 10:26:13+00:00,0.0,1.0,0.0,Musicians unite at AMAs in wake of tumultuous year https://t.co/bYxBOEOi2I,59,@FoxNews
0.4019,2017-11-20 10:23:54+00:00,0.0,0.803,0.197,"OPINION: A health-care plan from 2,000 years ago could help America today https://t.co/B2RMCMjRLp",60,@FoxNews
0.0,2017-11-20 10:21:00+00:00,0.0,1.0,0.0,"Who owns art made by Guantanamo detainees? The artist captives? Or the US?
 https://t.co/xFhA2uDcmk",61,@FoxNews
0.0,2017-11-20 10:20:02+00:00,0.0,1.0,0.0,Massachusetts high school gives late homeless veteran a military-style farewell https://t.co/gk2qAG76bY https://t.co/xc0qqe96WY,62,@FoxNews
0.0,2017-11-20 10:16:01+00:00,0.0,1.0,0.0,"Trader Joe's recalls packaged salads over glass shards, plastic concerns https://t.co/HHVoFJ07ZL",63,@FoxNews
-0.1561,2017-11-20 10:11:24+00:00,0.129,0.774,0.097,Former #NFL player @HerschelWalker criticized NFL Commissioner Roger Goodell for not putting a stop to the National… https://t.co/UK4C7Pc72j,64,@FoxNews
-0.6486,2017-11-20 10:06:32+00:00,0.223,0.777,0.0,"Charles Manson, mastermind behind 1969 deaths of actress Sharon Tate, 6 others, dead at 83 https://t.co/U3MYDrnd0P https://t.co/5Ff280kBcm",65,@FoxNews
0.0,2017-11-20 10:00:06+00:00,0.0,1.0,0.0,President @realDonaldTrump tweets about Arizona Sen. @JeffFlake's hot mic comment about the GOP's future.… https://t.co/WQIacntMsY,66,@FoxNews
0.0,2017-11-20 09:51:35+00:00,0.0,1.0,0.0,"Musicians unite at AMAs in wake of tumultuous year
https://t.co/TXoqDgDPbV",67,@FoxNews
0.0,2017-11-20 09:42:02+00:00,0.0,1.0,0.0,"On @ffweekend, @dreverettpiper, president of @OKWUniv, spoke out against post-modern P.C. educational policies. https://t.co/WAdHu1OuCw",68,@FoxNews
0.0,2017-11-20 09:34:21+00:00,0.0,1.0,0.0,"Substitute teacher, 23, indicted for sex with two teen boy students and sending them nude pics
https://t.co/mB9a7hNdwE",69,@FoxNews
0.0,2017-11-20 09:31:01+00:00,0.0,1.0,0.0,Extremely rare fish caught by sport fishermen in Ocean City https://t.co/baZqkgNlbg,70,@FoxNews
-0.6472,2017-11-20 09:25:04+00:00,0.227,0.773,0.0,".@PeterRoskam: ""Let's shed this whole tax code. It's a loser. It is not helping us. It is holding back growth."" https://t.co/QFsSflDB0M",71,@FoxNews
0.128,2017-11-20 09:14:00+00:00,0.186,0.599,0.216,Harrison Ford becomes real-life hero at the scene of a traffic accident https://t.co/NL6g89gpve,72,@FoxNews
0.4767,2017-11-20 09:02:05+00:00,0.0,0.795,0.205,".@EricTrump: ""It's incredible the amount that's been done... I'm proud of [@POTUS]."" https://t.co/pvM04TAwUL",73,@FoxNews
0.4939,2017-11-20 08:58:01+00:00,0.0,0.814,0.186,"On @SundayFutures, @EricTrump praised @POTUS's economic record in the year since he was elected.… https://t.co/HzutiHzBzQ",74,@FoxNews
0.5267,2017-11-20 08:44:01+00:00,0.0,0.746,0.254,'Justice League' performs way below expectations at the box office https://t.co/suXOtSVYdU,75,@FoxNews
0.0,2017-11-20 08:35:06+00:00,0.0,1.0,0.0,"On @ffweekend, @Ed_Klein discussed @BillClinton &amp; @HillaryClinton's legacy in the wake of the new national discussi… https://t.co/AeHHcJnfzk",76,@FoxNews
-0.7003,2017-11-20 08:31:24+00:00,0.405,0.595,0.0,"Trump reignites feud with Flake, predicts he'll vote no on tax cuts
https://t.co/QA1Ee8nBMk",77,@FoxNews
0.4019,2017-11-20 08:30:06+00:00,0.0,0.816,0.184,".@JeffFlake: @GOP is 'toast' if it becomes party of @POTUS, @MooreSenate https://t.co/uRO6Asz9kj https://t.co/1xAgtHoCG5",78,@FoxNews
0.0,2017-11-20 08:15:05+00:00,0.0,1.0,0.0,".@HillaryClinton: ""Between tweeting and golfing how does [@POTUS] get anything done?"" https://t.co/YYsICSwhLZ",79,@FoxNews
-0.6705,2017-11-20 08:00:01+00:00,0.29,0.71,0.0,Texas woman killed after non-impaired driver taking breathalyzer test hits her https://t.co/3eTVXGVNJo,80,@FoxNews
-0.4404,2017-11-20 07:59:17+00:00,0.225,0.775,0.0,"Bannon: Gillibrand’s Clinton criticism an ‘earthquake in the Democratic Party’
https://t.co/HcslryBqLW",81,@FoxNews
-0.3612,2017-11-20 07:46:04+00:00,0.152,0.848,0.0,"At an event commemorating the 25th anniversary of @BillClinton's 1992 campaign, @HillaryClinton criticized @POTUS.… https://t.co/a7BKUHlpOo",82,@FoxNews
-0.1531,2017-11-20 07:34:36+00:00,0.118,0.882,0.0,"North Korea on 'aggressive schedule' in developing ballistic missile submarine, report says
https://t.co/PqxgnR2HrR",83,@FoxNews
-0.34,2017-11-20 07:30:06+00:00,0.335,0.412,0.253,Florida man fights eviction over 'emotional support squirrel'  https://t.co/wnVpTjhT0U @WattersWorld https://t.co/wh3J3JtI02,84,@FoxNews
0.8074,2017-11-20 07:21:02+00:00,0.0,0.601,0.399,Best Friends Are Youngest Black Republicans Ever Elected in Blue Connecticut https://t.co/5SGqMIsv8e https://t.co/d4sN0if2QJ,85,@FoxNews
-0.5574,2017-11-20 07:12:00+00:00,0.231,0.769,0.0,"Child allegedly destroys $1,300 of @Sephora makeup, uses it as 'finger paint' https://t.co/mFaDUYJmUH",86,@FoxNews
0.1027,2017-11-20 07:10:42+00:00,0.0,0.877,0.123,"Rep. Frederica Wilson says Gen. Kelly should 'apologize to nation'
https://t.co/AbOkKsukTM",87,@FoxNews
-0.2023,2017-11-20 07:00:01+00:00,0.107,0.893,0.0,".@realDonaldTrump dunks on UCLA star's controversial father, says he should have left players 'in jail' https://t.co/lCatM4ruNQ",88,@FoxNews
-0.2732,2017-11-20 06:53:36+00:00,0.171,0.711,0.118,"Charles Manson died of natural causes at 8:13 p.m. at Kern County hospital in California: authorities
https://t.co/SPzvpQMrB0",89,@FoxNews
-0.4404,2017-11-20 06:48:01+00:00,0.172,0.828,0.0,FBI releases 1971 letter that D.B. Cooper sleuth says could be from notorious hijacker https://t.co/KsWrJcLiCo,90,@FoxNews
0.5994,2017-11-20 06:30:01+00:00,0.102,0.588,0.31,OP-ED: Protests in support of undocumented immigrants are part of a proud American tradition https://t.co/ssIHtnX60g,91,@FoxNews
-0.6486,2017-11-20 06:15:44+00:00,0.235,0.765,0.0,"Charles Manson, mastermind behind 1969 deaths of actress Sharon Tate, 6 others, dead at 83
https://t.co/SPzvpQMrB0",92,@FoxNews
0.0,2017-11-20 06:14:05+00:00,0.0,1.0,0.0,"In his new hit song, country singer @NealMcCoy is taking aim at anthem kneelers. https://t.co/HAbdDQAlrD https://t.co/tOsWgpgAnn",93,@FoxNews
0.0,2017-11-20 06:00:01+00:00,0.0,1.0,0.0,President @realDonaldTrump tweets about Arizona Sen. @JeffFlake's hot mic comment about the GOP's future.… https://t.co/x68imw7FhM,94,@FoxNews
-0.1027,2017-11-20 05:54:28+00:00,0.123,0.877,0.0,"Florida church warns at every door 'we are heavily armed'

https://t.co/TdwDiPryr2",95,@FoxNews
0.3612,2017-11-20 05:40:05+00:00,0.0,0.706,0.294,Do you agree with President @realDonaldTrump? https://t.co/stLyYikg32,96,@FoxNews
0.0,2017-11-20 05:34:10+00:00,0.0,1.0,0.0,"Zimbabwe will now seek President Mugabe's impeachment
https://t.co/9N7HG1WgXT",97,@FoxNews
0.4215,2017-11-20 05:30:04+00:00,0.0,0.865,0.135,".@dreverettpiper: ""Education should be about pursuing what's true &amp; right &amp; real. It shouldn't be about peddling P.… https://t.co/6hNppxJpBO",98,@FoxNews
0.2235,2017-11-20 05:15:02+00:00,0.0,0.827,0.173,"Zimbabwe's Robert Mugabe addresses nation, does not announce resignation https://t.co/67MnK09sYU",99,@FoxNews
0.0,2017-11-20 05:02:05+00:00,0.0,1.0,0.0,".@EricTrump: ""If we're able to repatriate all that money... think what that will do."" https://t.co/b4vwhCbCkU",100,@FoxNews
0.2732,2017-11-20 17:38:26+00:00,0.0,0.896,0.104,"President Trump changed the dynamics of late-night TV. Tonight at 9 ET, @BrianStelter talks with some of late night… https://t.co/4VBcIhV8YX",1,@CNN
-0.6808,2017-11-20 17:22:09+00:00,0.223,0.777,0.0,President Donald Trump placed North Korea back on the list of state sponsors of terrorism https://t.co/Cm4WjjcBW6 https://t.co/nVF6YJD0x2,2,@CNN
0.0,2017-11-20 17:04:00+00:00,0.0,1.0,0.0,JUST IN: President Donald Trump announces he's designating North Korea as a state sponsor of terrorism… https://t.co/KmIikCEN1I,3,@CNN
0.2263,2017-11-20 16:58:48+00:00,0.0,0.917,0.083,"When Bitcoin first landed in the early part of the decade, many experts dismissed it as a fad. Today, it’s making w… https://t.co/Y6cBamJ5ct",4,@CNN
0.2263,2017-11-20 16:39:07+00:00,0.124,0.69,0.186,JUST IN: Nebraska approves path for controversial Keystone XL pipeline https://t.co/ehfF9sACJD https://t.co/8PetEggb3A,5,@CNN
0.3612,2017-11-20 16:37:01+00:00,0.0,0.884,0.116,The publicist who set up a meeting between Trump Jr. and a Russian lawyer says he's ready to talk to Mueller… https://t.co/PEGjob5utq,6,@CNN
0.0,2017-11-20 16:18:32+00:00,0.0,1.0,0.0,Here's a clock tracking President Trump's silence on Alabama Senate candidate Roy Moore https://t.co/g5Hjm7BJbC https://t.co/9aDtIsu0RD,7,@CNN
0.6369,2017-11-20 16:14:54+00:00,0.0,0.741,0.259,Do we love our guns more than our children? (via @CNNOpinion) https://t.co/YfdIeFO3sq https://t.co/sNMMtbacjd,8,@CNN
0.0258,2017-11-20 15:58:47+00:00,0.083,0.829,0.088,"Jared Kushner's lawyer says the Senate Judiciary Committee is playing ""gotcha games"" by accusing him of not disclos… https://t.co/rjgTMN2HNT",9,@CNN
-0.4767,2017-11-20 15:39:53+00:00,0.171,0.829,0.0,"Twitter suspended the Kremlin-linked troll ""Jenna Abrams"" account minutes after CNN published this article revealin… https://t.co/W3qAKQxRw8",10,@CNN
0.34,2017-11-20 15:22:08+00:00,0.103,0.733,0.164,"""If I could orchestrate the scenario, I would have Roy Moore win and then immediately resign and the Republican gov… https://t.co/1RI0gQ2RWY",11,@CNN
0.0,2017-11-20 15:06:08+00:00,0.0,1.0,0.0,President Donald Trump tweeted Sunday night that his administration will announce a decision next week on allowing… https://t.co/ikpGOCZmaY,12,@CNN
-0.296,2017-11-20 14:52:22+00:00,0.144,0.76,0.096,"Earle Hyman, a longtime stage and TV actor who played Bill Cosby's dad on ""The Cosby Show,"" has died age 91… https://t.co/171Zcg7ptZ",13,@CNN
0.0,2017-11-20 14:39:19+00:00,0.0,1.0,0.0,A woman tells CNN that Al Franken grabbed her buttocks while she was taking a photo with the sitting US senator in… https://t.co/PGBtilXWsj,14,@CNN
0.0772,2017-11-20 14:34:41+00:00,0.147,0.694,0.159,"Former Wimbledon champion Jana Novotna has died at the age of 49, the Women's Tennis Association has announced… https://t.co/rd9yWkEq8X",15,@CNN
0.0,2017-11-20 14:17:35+00:00,0.0,1.0,0.0,"New portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, were released Monday to c… https://t.co/ByDHMEBNmd",16,@CNN
-0.3182,2017-11-20 13:58:57+00:00,0.173,0.827,0.0,Fox News defends Sean Hannity amid calls for ad boycott https://t.co/b6De72ihRm https://t.co/Sbqs3MWwGk,17,@CNN
-0.0516,2017-11-20 13:35:24+00:00,0.186,0.641,0.173,"Here's why White House aides worry about Trump's Mar-a-Lago holiday
https://t.co/KlnhM51W5A https://t.co/SNHGIy3fl4",18,@CNN
-0.296,2017-11-20 13:12:33+00:00,0.119,0.825,0.057,Media Matters President Angelo Carusone explains why he's leading an advertising boycott against Fox News host Sean… https://t.co/vfbI6DDrid,19,@CNN
-0.4939,2017-11-20 12:52:30+00:00,0.144,0.856,0.0,"Atlanta's Georgia Dome is destroyed in a scheduled implosion with 4,300 pounds of TNT, after 25 years of hosting hi… https://t.co/chEuvtGDF3",20,@CNN
-0.8625,2017-11-20 12:46:03+00:00,0.35,0.65,0.0,"48 years after Charles Manson's followers carried out a series of brutal killings, most are still in prison… https://t.co/Bm7Xt2H0VI",21,@CNN
-0.8316,2017-11-20 12:24:07+00:00,0.354,0.571,0.075,"Charles Manson, the 1960s cult leader whose followers committed murders that shocked America, has died at the age o… https://t.co/hFKH3EAV7d",22,@CNN
0.4404,2017-11-20 12:00:33+00:00,0.0,0.873,0.127,Less than a month to go until CNN’s annual celebration of everyday people who make the world a better place. Vote f… https://t.co/SuFtoZUdpF,23,@CNN
-0.4767,2017-11-20 11:40:57+00:00,0.124,0.876,0.0,"Donald Trump hit back at the father of one of the UCLA basketball players arrested in China by tweeting ""I should h… https://t.co/58F8Vo6Cvh",24,@CNN
-0.5719,2017-11-20 11:18:59+00:00,0.281,0.719,0.0,The family of a 5-year-old boy crushed in a rotating Atlanta restaurant files a lawsuit https://t.co/Ql3vQ2RKHu https://t.co/jA5HZO135h,25,@CNN
-0.8625,2017-11-20 10:57:05+00:00,0.35,0.65,0.0,"48 years after Charles Manson's followers carried out a series of brutal killings, most are still in prison… https://t.co/gg0fv6IwwN",26,@CNN
0.5574,2017-11-20 10:50:03+00:00,0.0,0.806,0.194,"Kenya's Supreme Court rules that last month's presidential election rerun met all the constitutional requirements,… https://t.co/Bn6XrnPqtb",27,@CNN
-0.1027,2017-11-20 10:46:23+00:00,0.065,0.935,0.0,Trader Joe's has recalled some of its packaged salads over concerns they may contain pieces of glass or hard plasti… https://t.co/7jyri1ecuj,28,@CNN
0.0,2017-11-20 10:40:03+00:00,0.0,1.0,0.0,"New portraits of Queen Elizabeth II and her husband, the Duke of Edinburgh Prince Philip, were released Monday to c… https://t.co/fs461ayIG2",29,@CNN
0.0,2017-11-20 10:32:06+00:00,0.226,0.548,0.226,Afghan commandos rescue 15 people from a Taliban prison https://t.co/GhVvW30wpL https://t.co/umUoxI2n0n,30,@CNN
-0.296,2017-11-20 10:23:02+00:00,0.104,0.896,0.0,"Toshiba's stock plummeted Monday, after the company announced plans to raise $5 billion to avoid being booted off t… https://t.co/s0bl3emyBd",31,@CNN
-0.5423,2017-11-20 10:12:03+00:00,0.273,0.727,0.0,Coalition talks in Germany have collapsed leaving political uncertainty for Chancellor Angela Merkel… https://t.co/iTDRtLcaK0,32,@CNN
0.0772,2017-11-20 10:00:02+00:00,0.147,0.694,0.159,"Former Wimbledon champion Jana Novotna has died at the age of 49, the Women's Tennis Association has announced… https://t.co/s72BCUmeVM",33,@CNN
-0.0772,2017-11-20 09:51:06+00:00,0.107,0.8,0.093,An official source says Zimbabwe President Robert Mugabe has agreed to resign and will get full immunity for himsel… https://t.co/FTufsHgfKM,34,@CNN
-0.296,2017-11-20 09:40:08+00:00,0.144,0.76,0.096,"Earle Hyman, a longtime stage and TV actor who played Bill Cosby's dad on ""The Cosby Show,"" has died age 91… https://t.co/AzXUBKquDZ",35,@CNN
0.0,2017-11-20 09:31:06+00:00,0.0,1.0,0.0,"How much of the ""Wonder"" story is realistic? Two families of children with facial differences open up about how the… https://t.co/eLamnEqpJD",36,@CNN
-0.4767,2017-11-20 09:18:40+00:00,0.171,0.829,0.0,"Twitter suspended the Kremlin-linked troll ""Jenna Abrams"" account minutes after CNN published this article revealin… https://t.co/g5xb1WUIVL",37,@CNN
0.0,2017-11-20 09:00:11+00:00,0.0,1.0,0.0,President Donald Trump tweeted Sunday night that his administration will announce a decision next week on allowing… https://t.co/UZYIIetdsj,38,@CNN
-0.5719,2017-11-20 08:51:07+00:00,0.281,0.719,0.0,The family of a 5-year-old boy crushed in a rotating Atlanta restaurant files a lawsuit https://t.co/BBIj23fj8d https://t.co/w9fbAhoVY1,39,@CNN
-0.7351,2017-11-20 08:44:03+00:00,0.256,0.744,0.0,"The governor of Turkey’s capital, Ankara, has banned all public events relating to LGBT issues for fear they could… https://t.co/KhHW8MhjlX",40,@CNN
-0.25,2017-11-20 08:34:05+00:00,0.087,0.913,0.0,"Lebanese PM Saad Hariri, who recently resigned, plans to visit Cairo on Tuesday before what he says will be his eve… https://t.co/MfClmiZ1LI",41,@CNN
-0.8316,2017-11-20 08:24:09+00:00,0.354,0.571,0.075,"Charles Manson, the 1960s cult leader whose followers committed murders that shocked America, has died at the age o… https://t.co/Fj6tU3JTzV",42,@CNN
-0.7783,2017-11-20 08:15:50+00:00,0.264,0.736,0.0,"A Border Patrol agent died on Sunday morning from injuries he suffered while on patrol in southwest Texas, the US C… https://t.co/5VOL4LSKss",43,@CNN
-0.8074,2017-11-20 08:06:20+00:00,0.477,0.523,0.0,"Arab League states condemn Hezbollah as a ""terrorist organization"" https://t.co/UTypDF8LXU https://t.co/6MlJPNRSXp",44,@CNN
